noise,CEO,MGR,CMGR,SNRMGR,TSC,CONS,SNRTSC,SNRCONS,salary,tenure
13000.0,0,0,0,0,1,0,0,0,4260.0,32.53972602739726
14000.0,0,0,0,0,0,0,0,1,5460.0,28.172602739726027
11000.0,0,0,0,0,0,1,0,0,3730.0,5.895890410958904
14000.0,0,0,0,0,0,0,0,1,5860.0,32.95890410958904
14000.0,0,0,0,0,0,0,0,1,6130.0,31.65753424657534
17000.0,0,1,0,0,0,0,0,0,5600.0,24.90684931506849
14000.0,0,0,0,0,0,1,0,0,4130.0,6.69041095890411
13000.0,0,0,0,0,0,0,0,1,6400.0,12.161643835616438
13000.0,0,0,0,1,0,0,0,0,8930.0,16.621917808219177
14000.0,0,0,0,0,0,1,0,0,5730.0,5.235616438356164
15000.0,0,0,0,0,1,0,0,0,3600.0,31.09315068493151
12000.0,0,0,0,0,0,1,0,0,5600.0,20.361643835616437
11000.0,0,0,0,0,0,1,0,0,4260.0,33.46849315068493
13000.0,0,0,0,0,0,0,0,1,5200.0,6.898630136986301
10000.0,0,0,0,0,0,0,1,0,4130.0,13.558904109589042
11000.0,0,0,0,0,0,0,0,1,6660.0,33.443835616438356
14000.0,0,0,0,0,0,1,0,0,8530.0,5.120547945205479
14000.0,0,0,0,0,0,0,0,1,6260.0,24.517808219178082
11000.0,0,0,0,0,0,0,0,1,4800.0,7.608219178082192
14000.0,0,0,0,0,1,0,0,0,2800.0,31.013698630136986
14000.0,0,0,0,0,0,0,1,0,5330.0,11.56986301369863
14000.0,0,0,0,0,0,0,0,1,6930.0,24.91780821917808
12000.0,0,0,0,0,0,1,0,0,4130.0,26.493150684931507
15000.0,0,0,0,0,0,0,0,1,5730.0,29.208219178082192
12000.0,0,0,0,0,0,0,0,1,7060.0,20.95068493150685
12000.0,0,0,0,0,0,0,0,1,5460.0,7.315068493150685
13000.0,0,0,0,0,1,0,0,0,4000.0,31.208219178082192
14000.0,0,0,0,0,0,0,1,0,4930.0,14.797260273972602
13000.0,0,0,0,0,0,0,1,0,4660.0,34.50684931506849
